cohort allele allele_count all_alleles_count
15 5 2 46864
15 5 3 110489
15 5 4 174325
15 5 5 202003
15 5 6 180265
15 5 7 130181
15 5 8 77781
15 5 9 39118
15 5 10 16957
15 5 11 6159
15 5 12 1795
15 5 13 431
15 5 14 58
15 5 15 1
15 6 3 110606
15 6 4 233977
15 6 5 251384
15 6 6 207368
15 6 7 119803
15 6 8 54990
15 6 9 17532
15 6 10 3854
15 6 11 486
15 7 1 44
15 7 2 298
15 7 3 1544
15 7 4 5503
15 7 5 14936
15 7 6 31951
15 7 7 56030
15 7 8 84771
15 7 9 110909
15 7 10 129504
15 7 11 135939
15 7 12 127613
15 7 13 107228
15 7 14 80770
15 7 15 53733
15 7 16 31619
15 7 17 16469
15 7 18 7139
15 7 19 2836
15 7 20 878
15 7 21 227
15 7 22 44
15 7 23 7
15 7 24 1
15 8 9 17531
15 8 10 79123
15 8 11 152869
15 8 12 184964
15 8 13 182331
15 8 14 158076
15 8 15 110702
15 8 16 64094
15 8 17 32153
15 8 18 13485
15 8 19 3873
15 8 20 745
15 8 21 54
15 9 3 24
15 9 4 172
15 9 5 1045
15 9 6 3993
15 9 7 12978
15 9 8 31009
15 9 9 61303
15 9 10 100823
15 9 11 136927
15 9 12 158529
15 9 13 154817
15 9 14 130327
15 9 15 94120
15 9 16 58973
15 9 17 31895
15 9 18 14675
15 9 19 5810
15 9 20 1918
15 9 21 531
15 9 22 116
15 9 23 15
15 10 1 140534
15 10 2 327906
15 10 3 281511
15 10 4 156751
15 10 5 77670
15 10 6 15628
15 11 1 250133
15 11 2 374850
15 11 3 249418
15 11 4 62716
15 12 9 236
15 12 10 2902
15 12 11 16094
15 12 12 53998
15 12 13 120525
15 12 14 193515
15 12 15 225038
15 12 16 193537
15 12 17 121137
15 12 18 53533
15 12 19 16382
15 12 20 2873
15 12 21 230
15 13 3 34
15 13 4 487
15 13 5 3176
15 13 6 13721
15 13 7 41626
15 13 8 91919
15 13 9 152792
15 13 10 196183
15 13 11 196245
15 13 12 152941
15 13 13 92020
15 13 14 41288
15 13 15 13768
15 13 16 3273
15 13 17 485
15 13 18 42
15 14 4 31076
15 14 5 156770
15 14 6 312818
15 14 7 312297
15 14 8 156004
15 14 9 31035
15 15 7 125
15 15 8 1583
15 15 9 9433
15 15 10 34955
15 15 11 86479
15 15 12 157275
15 15 13 210116
15 15 14 209270
15 15 15 157572
15 15 16 87466
15 15 17 34633
15 15 18 9416
15 15 19 1567
15 15 20 110
15 16 16 499581
15 16 17 500419
15 17 13 15785
15 17 14 94098
15 17 15 234691
15 17 16 311918
15 17 17 234503
15 17 18 93565
15 17 19 15440
15 18 2 1000000
15 19 7 4432
15 19 8 28392
15 19 9 81342
15 19 10 143230
15 19 11 176607
15 19 12 176787
15 19 13 152079
15 19 14 110896
15 19 15 67693
15 19 16 35615
15 19 17 15850
15 19 18 5504
15 19 19 1354
15 19 20 207
15 19 21 12
15 20 12 125206
15 20 13 374989
15 20 14 374966
15 20 15 124839
15 21 3 7670
15 21 4 54942
15 21 5 163976
15 21 6 274417
15 21 7 272679
15 21 8 163511
15 21 9 54850
15 21 10 7955
15 22 14 31227
15 22 15 156622
15 22 16 313131
15 22 17 311739
15 22 18 156122
