Indiv	NatalYear	CoreNestling	ImmCohort	InclBr
1453-78056	NA	N	1994	Y
1453-78058	NA	N	1993	Y
1453-78062	NA	N	1994	Y
UB8f_2k	NA	N	1992	N
UB8m_2k	NA	N	1992	N
1453-78063	NA	N	NA	Y
1453-78066	NA	N	1994	Y
1453-78067	NA	N	1994	Y
1453-78068	NA	N	1994	Y
1453-78072	NA	N	1993	Y
1453-78075	NA	N	1993	Y
1453-78077	NA	N	1993	Y
1453-78091	NA	N	1993	Y
1453-78094	NA	N	1994	Y
1453-78096	1994	N	NA	Y
1453-78106	NA	N	1994	Y
1453-78107	NA	N	1994	Y
1453-78110	1995	N	NA	N
1453-78111	1995	N	NA	N
1453-78112	1995	N	NA	N
1453-78113	1995	N	NA	Y
1453-78114	NA	N	1993	Y
1453-78133	1995	Y	NA	N
1453-78134	1995	Y	NA	N
1453-78135	1995	Y	NA	N
1453-78141	NA	N	1994	Y
UM8_OGMdadWCIT	NA	N	1992	N
1453-78143	1995	Y	NA	N
1453-78145	1995	Y	NA	N
1453-78146	NA	N	1994	Y
1453-78149	1995	Y	NA	N
1453-78150	1995	Y	NA	N
1453-78151	1995	Y	NA	Y
1453-78152	1995	Y	NA	N
1453-78153	1995	Y	NA	N
1453-78154	1995	Y	NA	N
1453-78155	1995	Y	NA	N
1453-78164	1995	Y	NA	N
1453-78165	1995	Y	NA	N
1453-78166	1995	Y	NA	N
1453-78174	1995	Y	NA	N
1453-78175	1995	Y	NA	N
1453-78179	NA	N	1994	Y
1453-78180	NA	N	1993	Y
1453-78184	1995	Y	NA	N
1453-78185	1995	Y	NA	Y
1453-78186	1995	Y	NA	N
1453-78187	NA	N	1994	Y
1453-78189	1995	N	NA	N
1453-78190	1995	N	NA	N
1453-78192	NA	N	1994	Y
1453-78194	1995	N	NA	N
1453-78196	NA	N	1994	Y
1453-78202	1995	N	NA	Y
1453-78203	NA	N	1994	Y
1453-78205	1995	N	NA	Y
1453-78207	1995	N	NA	Y
1453-78208	NA	N	1994	Y
1453-78210	NA	N	1994	Y
1453-78223	NA	N	1993	Y
1453-78224	NA	N	1994	Y
1453-78228	NA	N	1995	Y
1453-78229	NA	N	1995	Y
1453-78233	NA	N	1995	Y
1453-78235	NA	N	1994	Y
1453-78240	NA	N	1994	Y
1453-78241	NA	N	1994	Y
1453-78242	NA	N	1994	Y
